sentence,paperID,date,journal,affiliation,question,
"The serial interval of COVID-19 has declined substantially over time as a result of increased case isolation, meaning individuals tend to transmit virus for less time.",dcd1487342671d4726b73c9bf5cf0e928fd353eb,7/21/20,Science,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
The generation time (time between infection events in a chain of transmission) for SARS-CoV-2 is estimated as 4-5 days.,c565a34ab75e0b75a0d4a165918e8490bbdaf84b,11/23/20,BMJ Open,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
The generation time (time between infection events in a chain of transmission) for SARS-CoV-2 is estimated as 4-5 days.,8c9931ba4100dcd88e4da69c0aa5fe6fc25ff237,11/23/20,BMJ Open,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
"Children are estimated to shed virus for 15 days on average, with asymptomatic individuals shedding virus for less time (11 days) than symptomatic individuals (17 days).",ce703b5a1af2e9d730b057b42ceb915fa1907422,4/16/20,Pediatr Infect Dis J,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
Asymptomatic and mildly ill patients who test positive for SARS-CoV-2 take less time to test negative than severely ill patients.,c16ad9336bf7e9a67208113f8b683463deef479e,10/4/20,Emerg Infect Dis,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
Patients infected by asymptomatic or young (<20 years old) individuals may take longer to develop symptoms than those infected by other groups of individuals.,3d921c03dc23ee850655ddfd9d5ebe3956d70bf8,6/22/20,,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
Viral RNA loads in the upper respiratory tract tend to peak within a few days of symptom onset and become undetectable approximately two weeks after symptoms begin.,5ee643b9429a57b6dd06f9d99917b23f569b4264,6/29/20,J Infect,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
"The duration of the infectious period is unknown, though patients can test positive for SARS-CoV-2 viral RNA for extended periods of time, particularly in stool samples.",5ee643b9429a57b6dd06f9d99917b23f569b4264,6/29/20,J Infect,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
"Patients being released from the hospital may still exhale detectable levels of SARS-CoV-2 RNA (~7,000 genome copies per hour), though the infectivity of these patients is unknown.",7d1806e31448ec836e803b3ad3f8e6a94eb1194f,10/15/20,J Aerosol Sci,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
"Patients being released from the hospital may still exhale detectable levels of SARS-CoV-2 RNA (~7,000 genome copies per hour), though the infectivity of these patients is unknown.",f6a89f2d398d66d94da5a611557503fd5d1f3bf7,10/15/20,J Aerosol Sci,,4. Incubation Period – How long after infection do symptoms appear? Are people infectious during this time?,
"Older individuals and those with underlying conditions are at higher risk of serious illness and death, as are men.",e78d03a31c9e7a1c7a5d81fddfc3fd65eb3239aa,8/12/20,Int J Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Fever, cough, and shortness of breath are the most common symptoms, followed by malaise, fatigue, and sputum/secretion.",dfa1c02512aa9d80aa04587382905be14ccf0856,11/26/20,Wien Klin Wochenschr,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Fever, cough, and shortness of breath are the most common symptoms, followed by malaise, fatigue, and sputum/secretion.",0426d1cf12b4ef76fe82e003223bc3186a704c49,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Fever, cough, and shortness of breath are the most common symptoms, followed by malaise, fatigue, and sputum/secretion.",dd9f99abf72180e74f22275f459d638753d250c0,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Fever, cough, and shortness of breath are the most common symptoms, followed by malaise, fatigue, and sputum/secretion.",08355a026b85185c0f71ad0b8ca1caece617df5c,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Fever, cough, and shortness of breath are the most common symptoms, followed by malaise, fatigue, and sputum/secretion.",ea646b114ea01f978d205ed97405e1f2afed2dfd,2/21/20,The Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"In at least one cohort, however (n=1,564), muscle pain (55%) and headache (51%) were more common than cough (49%).",64f54186c66a6ba0ae3ae76ee64247ef13e5d1c8,12/2/20,BMJ,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Chills, muscle pain, sore throat, loss of taste or smell, gastrointestinal symptoms, neurological symptoms, and dermatological symptoms also occur with COVID-19, and atypical symptoms such as unexplained limb pain may also present with COVID-19.",0d4308d923f21f8ea179f816e09830cb13357ee6,11/11/20,Int J Surg Case Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Chills, muscle pain, sore throat, loss of taste or smell, gastrointestinal symptoms, neurological symptoms, and dermatological symptoms also occur with COVID-19, and atypical symptoms such as unexplained limb pain may also present with COVID-19.",e7ff2ddc900d0a828c09ccc59e259dc523eabe96,11/14/20,Ir J Med Sci,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Chills, muscle pain, sore throat, loss of taste or smell, gastrointestinal symptoms, neurological symptoms, and dermatological symptoms also occur with COVID-19, and atypical symptoms such as unexplained limb pain may also present with COVID-19.",684d34b6a55fb8d487604fecb78e30426e2804e9,6/6/20,Ann Gastroenterol,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Chills, muscle pain, sore throat, loss of taste or smell, gastrointestinal symptoms, neurological symptoms, and dermatological symptoms also occur with COVID-19, and atypical symptoms such as unexplained limb pain may also present with COVID-19.",dfa1c02512aa9d80aa04587382905be14ccf0856,11/26/20,Wien Klin Wochenschr,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Headaches are common, may persist for weeks, and may be associated with shorter disease duration.",f80553706dcafb465604743986b07cc874580a60,11/4/20,Cephalalgia,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 generally begins with fever, then cough and malaise.",33df1604bd2437316cf78d9a81759ba7c58a6c57,8/13/20,Front Public Health,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"In 49 children with COVID-19 (0-22 years), however, only 51% developed fever.",df44bd591c6975c433622e9bfcf4e951c9b0b785,8/20/20,J Pediatr,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Only 20% of emergency department patients testing positive for COVID-19 had fevers >100°F.,df44bd591c6975c433622e9bfcf4e951c9b0b785,8/20/20,J Pediatr,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 is more severe than seasonal influenza, evidenced by higher ICU admission and mortality rates.",43ba8fbab09050c41a3de26536f011abd5ca924a,12/15/20,BMJ,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Approximately 15% of hospitalized patients are classified as severe, and approximately 5% of patients are admitted to the ICU.",0426d1cf12b4ef76fe82e003223bc3186a704c49,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Approximately 15% of hospitalized patients are classified as severe, and approximately 5% of patients are admitted to the ICU.",dd9f99abf72180e74f22275f459d638753d250c0,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Approximately 15% of hospitalized patients are classified as severe, and approximately 5% of patients are admitted to the ICU.",08355a026b85185c0f71ad0b8ca1caece617df5c,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Approximately 15% of hospitalized patients are classified as severe, and approximately 5% of patients are admitted to the ICU.",0426d1cf12b4ef76fe82e003223bc3186a704c49,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Approximately 15% of hospitalized patients are classified as severe, and approximately 5% of patients are admitted to the ICU.",dd9f99abf72180e74f22275f459d638753d250c0,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Approximately 15% of hospitalized patients are classified as severe, and approximately 5% of patients are admitted to the ICU.",08355a026b85185c0f71ad0b8ca1caece617df5c,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.,e3a6b267b8988c0b1b8e10ffbfb024cc2992d6d7,6/30/20,Clin Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.,0f643f632b95d52f2b4d679a9c3b792c348bb943,9/15/20,Cancer Cell,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Individuals of any age can develop severe symptoms and require ICU care.,0f643f632b95d52f2b4d679a9c3b792c348bb943,9/15/20,Cancer Cell,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Males are associated with worse outcomes compared to females.,d0ad6118d76018e1efb2680fd9378d33708e1c1b,12/9/20,Nat Commun,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Males are associated with worse outcomes compared to females.,28331abc7f8433f3b169d39144a413d121d90f01,12/9/20,Nat Commun,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Early presenters, who are admitted to the hospital within 7 days of symptom onset, have worse clinical outcomes than those admitted later in illness, potentially due to an observed hyperinflammatory response 5-7 days after symptoms begin.",54883ec590934cc093f31f3e4870a6bcd228093c,10/9/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS.",1935283077fcb52109209e51e998c3802cfacbf4,4/21/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS.",65b49592a3539c0c6a794ddfd2d623ab373c7a2b,4/21/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS.",7fe28ddbd5fe4193b6a61bb256c9732f14b45130,11/3/20,EBioMedicine,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Clotting affects multiple organs and is present in 15-27% of cases.,ddee0a9e2701b4418cca18d03ce86909f9e74f2a,8/13/20,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Clotting affects multiple organs and is present in 15-27% of cases.,5398e9b4c28e056eb1b296b7de4d43648af6e117,6/25/20,EClinicalMedicine,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",0426d1cf12b4ef76fe82e003223bc3186a704c49,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",dd9f99abf72180e74f22275f459d638753d250c0,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",08355a026b85185c0f71ad0b8ca1caece617df5c,2/28/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",ea646b114ea01f978d205ed97405e1f2afed2dfd,2/21/20,The Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",ea646b114ea01f978d205ed97405e1f2afed2dfd,2/21/20,The Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",65486f9ea230a303f0af4a0bc0a9e66e3e7629d8,3/11/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",e44f052ad7a39987eae6353c41b34dfacbe697a2,3/11/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",26a8eef81a960b510a503fc3abdc10cd53b1557a,2/13/20,Radiology,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",a1aef37a46f33779adbfc5adfbdeac9e261caa05,4/22/20,medRxiv,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock.",760fbd7e2f183dc454eb8fe4c989c51c8bec0578,4/9/20,Kidney Int,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.,66b567dec0fc8f7a70860647a6a2a61a3c259001,7/31/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission.",e046d955ed8d10b9e3d94c1e1342fb13845f517f,11/13/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",1a5518c914fc2c08556e19280bbad16c82297ce0,9/22/20,PLoS Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",22749adcec428459584e7aa11d2d1bad1cd4a71a,5/15/20,,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",826d2003683aaa1eeb7e83698dcab33294799f3c,10/30/20,Occup Environ Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",826d2003683aaa1eeb7e83698dcab33294799f3c,10/30/20,Occup Environ Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",c16ad9336bf7e9a67208113f8b683463deef479e,10/4/20,Emerg Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",678a06b1a99bc858a18617f16e980640b6e11cf4,3/12/20,Euro Surveill,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",94d6310707f0d1d41f9bd34fe0bd7f8c4bfc013f,3/12/20,Euro Surveill,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",364563f6674928b4a6386e656dd217d37e656645,3/14/20,Int J Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",a3357069424539a045bdc4fbe6f4d54665037c90,3/14/20,Int J Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",364563f6674928b4a6386e656dd217d37e656645,3/14/20,Int J Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",a3357069424539a045bdc4fbe6f4d54665037c90,3/14/20,Int J Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",6d4b3bfbc8e4c2ab4505c4e9d709625ae7b96fe4,6/12/20,Lancet Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time.",8ee9bd284176875ca151d2f9e17270acc17bab1b,5/8/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death.",8ee9bd284176875ca151d2f9e17270acc17bab1b,5/8/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death.",65486f9ea230a303f0af4a0bc0a9e66e3e7629d8,3/11/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death.",e44f052ad7a39987eae6353c41b34dfacbe697a2,3/11/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death.",233c87a0b8b9d18db829badf694faf42806f8504,11/27/20,BMJ,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death.",c5d91b70d0c70d051df4ffdee54d11000d5d8928,11/27/20,BMJ,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",233c87a0b8b9d18db829badf694faf42806f8504,11/27/20,BMJ,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",c5d91b70d0c70d051df4ffdee54d11000d5d8928,11/27/20,BMJ,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",65486f9ea230a303f0af4a0bc0a9e66e3e7629d8,3/11/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",e44f052ad7a39987eae6353c41b34dfacbe697a2,3/11/20,Lancet,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",3eee32ba9e2992dfa932be0911afa83ad6011b1d,9/4/20,Emerg Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",3eee32ba9e2992dfa932be0911afa83ad6011b1d,9/4/20,Emerg Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",3eee32ba9e2992dfa932be0911afa83ad6011b1d,9/4/20,Emerg Infect Dis,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR.",72a63066c59f4b0913fc5f4a09734d34a4cc4e65,10/21/20,Ann Intern Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Prior kidney disease may increase disease severity, though age may be the dominant factor.",72a63066c59f4b0913fc5f4a09734d34a4cc4e65,10/21/20,Ann Intern Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Prior kidney disease may increase disease severity, though age may be the dominant factor.",04d039f451ca61c3304d644869297fa2a26ed4e3,11/12/20,PLoS One,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"In Iceland, the overall CFR has been estimated at 0.3-0.6% but increases to ~4% in those over 70 years old.",bc742e98a412ce77a05a1f84045a2799961cb4c7,9/1/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"In Iceland, the overall CFR has been estimated at 0.3-0.6% but increases to ~4% in those over 70 years old.",45c79051bde73b4b53be921a27931a90e9a0b0e7,9/1/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"In Iceland, the overall CFR has been estimated at 0.3-0.6% but increases to ~4% in those over 70 years old.",b9cbc9bf5933ce9a14c906af9e7733e1886a63ef,9/1/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"An estimated overall infection fatality rate for Indiana was calculated as 0.26%, increasing to 1.71% for those >65 years old.",a5c41f4e263e444eeac56cdd88a6cb27916a8ea0,9/2/20,Ann Intern Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Minority populations and essential workers are disproportionately affected by COVID-19.,b30522e39f9b04b55822770b307d2c5e0491f0fd,8/21/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",b30522e39f9b04b55822770b307d2c5e0491f0fd,8/21/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",f1cd60ea6bc145fd5bf6d2974af94b636609b589,5/14/20,Ann Epidemiol,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",f1cd60ea6bc145fd5bf6d2974af94b636609b589,5/14/20,Ann Epidemiol,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",c1ca6e23c081f862d39682ace8622d019986103f,7/29/20,Sci Immunol,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",c1ca6e23c081f862d39682ace8622d019986103f,7/29/20,Sci Immunol,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",f9efd78370afb3021bb13e7821ead09e03cf98c4,6/3/20,EClinicalMedicine,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",f9efd78370afb3021bb13e7821ead09e03cf98c4,6/3/20,EClinicalMedicine,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",f9efd78370afb3021bb13e7821ead09e03cf98c4,6/3/20,EClinicalMedicine,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",d8faa7ab0bcf6db412b7eee84b2c880bd06a0290,5/27/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Black, Asian, and Minority Ethnic populations, including children, acquire SARS-CoV-2 infection at higher rates than other groups and are hospitalized and die disproportionately.",34a13fec689ace4312092cb5d08c97091ab76435,5/27/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Hispanic and Black COVID-19 patients tend to die at younger ages than white patients.,d8faa7ab0bcf6db412b7eee84b2c880bd06a0290,5/27/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Hispanic and Black COVID-19 patients tend to die at younger ages than white patients.,34a13fec689ace4312092cb5d08c97091ab76435,5/27/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Hispanic, Black, and American Indian children accounted for 78% of early US pediatric deaths (n=121).",d8faa7ab0bcf6db412b7eee84b2c880bd06a0290,5/27/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Hispanic, Black, and American Indian children accounted for 78% of early US pediatric deaths (n=121).",34a13fec689ace4312092cb5d08c97091ab76435,5/27/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Social vulnerability is associated with greater SARS-CoV-2 transmission risk.,85255b985b02c4f8a4b72d6d1df84cfc0568c96e,10/23/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Pregnant women with COVID-19 require ICU care at similar rates as non-pregnant women and are less likely to present with fever and myalgia, but have higher rates of preterm delivery.",85255b985b02c4f8a4b72d6d1df84cfc0568c96e,10/23/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Pregnant women with COVID-19 require ICU care at similar rates as non-pregnant women and are less likely to present with fever and myalgia, but have higher rates of preterm delivery.",85255b985b02c4f8a4b72d6d1df84cfc0568c96e,10/23/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Severity in pregnant women may be associated with underlying conditions such as obesity, and symptom severity may be predicted early.",85255b985b02c4f8a4b72d6d1df84cfc0568c96e,10/23/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Preterm births are more likely in symptomatic patients.,6223caa815febaf89d796105bb4cfcd313d760b4,9/25/20,MMWR Morb Mortal Wkly Rep,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
Approximately 25% of pregnant COVID-19 patients had symptoms for at least 8 weeks.,b1e4af56334a16a8cf9f026c918a596bcab87dc9,10/6/20,Obstet Gynecol,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Children are susceptible to COVID-19, though generally show milder or no symptoms.",d2c6b692cb757a79ec7ec20b26ea401d73604d7a,3/18/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Children are susceptible to COVID-19, though generally show milder or no symptoms.",4f9854e6434f613ed77839a7d1b38ca4c5059d7b,3/18/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
"Children are susceptible to COVID-19, though generally show milder or no symptoms.",df34e72b41879873ecded26635beb40803cec1c0,3/18/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
21% to 28% of children (<19 years old) may be asymptomatic.,d2c6b692cb757a79ec7ec20b26ea401d73604d7a,3/18/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
21% to 28% of children (<19 years old) may be asymptomatic.,4f9854e6434f613ed77839a7d1b38ca4c5059d7b,3/18/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
21% to 28% of children (<19 years old) may be asymptomatic.,df34e72b41879873ecded26635beb40803cec1c0,3/18/20,N Engl J Med,,5. Clinical Presentation – What are the signs and symptoms of an infected person?,
