ground_truth	matched_claim
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.	"The results are also in agreement with those of Hagman et al., who, using standard RT-PCR technology, found that the presence of SARS-CoV-2 RNA in serum at hospital admission was associated with a seven-fold increased risk of critical disease and an eight-fold increased risk of death in a cohort of 167 patients hospitalized for COVID-19 [23] "
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.	"Our data revealed that the initial SARS-CoV-2 RNA levels in patients at admission did not differ with age, sex, comorbidities and disease severity at later time points"
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.	"Early hospital admission was associated with less probability of long-term SARS-CoV-2 RNA detection compared with delayed hospital admission (49% vs 78%, adjusted OR = 3.70, 95% CI: 1.82-7.50, P < 0.001; see Fig"
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.	"The presence and levels of SARS-CoV-2 RNA in serum were correlated to disease severity, and there was a tendency towards a higher risk of poor outcome in the serum positive group"
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.	"SARS-CoV2 RNAemia has been associated with more severe COVID-19, including a higher  probability of ICU admission and mechanical ventilation"
Higher SARS-CoV-2 RNA loads on admission have been associated with greater risk of death.	"Similar risk factors for prolonged SARS-CoV-2 RNA clearance were observed when the data were analysed using a Cox proportional hazards model (supplementary table E3 , and supplementary figures E1 and E2)"
Individuals of any age can develop severe symptoms and require ICU care.	"Once infected, individuals can develop severe disease and require hospital and/or ICU care"
Individuals of any age can develop severe symptoms and require ICU care.	"Most individuals with mild cases may recover fully without treatment, but those with severe cases definitively need ICU care"
Individuals of any age can develop severe symptoms and require ICU care.	"Patients at older age and with medical comorbidities are at the most risk of requiring hospitalization, ICU care, and at risk for death"
Individuals of any age can develop severe symptoms and require ICU care.	"ICU care is required for aged patients or patients likely to have comorbidities including hypertension, diabetes, cardiovascular diseases and cerebrovascular disorders"
Individuals of any age can develop severe symptoms and require ICU care.	We included adult patients (age ≥18 years old) who received ICU care
Individuals of any age can develop severe symptoms and require ICU care.	"8 Furthermore, no patients in this cohort less than 19 years of age required ICU care"
Individuals of any age can develop severe symptoms and require ICU care.	"This delay reflects the potentially long time from infection to severe and critical conditions as many COVID-19 patients who eventually require ICU care present initially as having only mild symptoms, 14 and even longer time to discharge or death, 15 resulting in the accumulation of hospitalized cases long after the downturns in the community spread"
Individuals of any age can develop severe symptoms and require ICU care.	"This delay reflects the potentially long time from infection to severe and critical conditions as many COVID-19 patients who eventually require ICU care present initially as having only mild symptoms, 14 and even longer time to discharge or death, 15 resulting in the accumulation of hospitalized cases long after the downturns in the community spread"
Individuals of any age can develop severe symptoms and require ICU care.	"ICU care also may become necessary to manage prolonged hospitalization-associated complications, such as coagulopathy [14] , secondary infections, gastrointestinal bleeding, and other problems [13] "
Individuals of any age can develop severe symptoms and require ICU care.	"However, given her younger age, benign medical history, initial presentation with mild-to-moderate respiratory symptoms, and reassuring laboratory testing, she would probably not experience severe symptoms, ICU care, or death"
Males are associated with worse outcomes compared to females.	Female gender was associated with better outcomes
Males are associated with worse outcomes compared to females.	The etiology of worse clinical outcomes in males compared to females is likely multifactorial
Males are associated with worse outcomes compared to females.	It is unclear why disease activity and general health outcomes are worse in females than males
Males are associated with worse outcomes compared to females.	"These results indicate that females are less susceptible than males, and have better outcomes"
Males are associated with worse outcomes compared to females.	Females were associated with worse scoring than males in emotional functioning and cognitive functioning
Males are associated with worse outcomes compared to females.	"31 However, we did not find that race and gender were associated with worse outcomes in this cohort"
Males are associated with worse outcomes compared to females.	"According to another meta-analysis that is done on 39 studies, males had more severe outcomes in comparison to females, as well as the mortality rate (11) "
Males are associated with worse outcomes compared to females.	"Older age and male sex have been consistently associated with worse outcomes, as have many chronic cardiovascular and respiratory diseases [3] [4] [5] [6] "
Males are associated with worse outcomes compared to females.	"Older age and male sex have been consistently associated with worse outcomes, as have many chronic cardiovascular and respiratory diseases [3] [4] [5] [6] "
Males are associated with worse outcomes compared to females.	risk factor and male gender is associated with worse outcomes [8] 
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS."	"There is evidence that SARS-CoV-2 attacks blood vessels with injuries in endothelial cells, widespread thrombosis and micro angiopathy [3] "
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS."	"Apart from lungs, Cardiovascular complications are recently seen as a new threat in Covid-19 along with blood clotting incidences (Escher et al., 2020; Varga et al., 2020) "
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS."	"[17] [18] [19] During our study period, evidence emerged suggesting the virus attacks blood vessels with reports of high prevalence of thrombotic events in COVID-19 patients 20 so we additionally investigated whether pre-infection anticoagulant medication modified the risk of severe COVID-19"
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS."	"In addition to transfusion-sparing effects, clotting factors also decrease the risk of transfusion-related complications, such as transfusion-related acute lung injury (TRALI) and transfusion-associated circulatory overload (TACO), the leading causes of transfusionrelated morbidity and mortality"
"SARS-CoV-2 attacks blood vessels in the lung, leading to clotting complications and ARDS."	" Puzzling or contested features a The virus is easily spread and by multiple routes (droplet, aerosol, contact) What explains striking geographic differences of incidence? Many infected persons are asymptomatic, a smaller number require hospitalization, and even fewer develop respiratory failure What explains highly variable mortality rates, site-to-site? Children are affected less often and usually less severely than adults, yet may have rare post-infectious complications related to previous vascular invasion Are there different COVID-19 genetic types and virulence, perhaps due to its RNA mutations? Mortality rates are higher among those with diabetes, hypertension, chronic heart or lung disease, the elderly, and the morbidly obese Can we develop an effective vaccine against variants of COVID and distribute it worldwide? How long will such a vaccine be effective? So-called 'silent hypoxemia' may precede overt respiratory distress Are there inflammatory versus non-inflammatory phenotypes of CARDS? Unusually high minute ventilation and high dead space may be evident from the outset What role does 'cytokine storm' play in the clinical presentations of COVID-19? Abrupt deterioration often occurs after days of smoldering infection Do symptomatic patients who present with severe hypoxemia sort into ""L and H"" phenotypes? Respiratory system compliance is not invariably low in the presence of severe hypoxemia Do patients progress to diffuse airspace disease via patient self-inflicted lung injury (PSILI)? Incidence of blood clotting appears to be high in hospitalized COVID-19 patients Does the fact that CARDS patients meet the Berlin definition mean that these patients will respond to standard approaches and guidelines for ARDS? Early CT infiltrates occurring in severely hypoxemic patients are often scant, peripheral, and characterized by atypical 'ground glass' or 'crazy paving' Does disrupted vasoregulation with minor shunt explain the severity of early hypoxemia? Prone positioning and PEEP improve PaO 2 /FiO 2 Should full anticoagulation be routinely implemented? Respiratory failure often resolves slowly in the most severely ill who do survive Which available drugs and proposed anti-viral approaches for COVID-19 treatment hold the most potential for benefit or risk? So it may be with COVID-19"
Clotting affects multiple organs and is present in 15-27% of cases.	"Thrombosis is a prominent feature in multiple organs, in some cases despite full anticoagulation"
Clotting affects multiple organs and is present in 15-27% of cases.	"1, 2 Multiple organs 115 are affected, and severe lung damage is a prominent finding in fatal cases"
Clotting affects multiple organs and is present in 15-27% of cases.	"40 Importantly, pathological data indicate that thrombosis appears to be a prominent feature in multiple organs, in some cases despite full anticoagulation and regardless of timing of the disease course, as suggested by the finding of megakaryocytes and platelet-rich thrombi in the lungs, heart and kidneys"
Clotting affects multiple organs and is present in 15-27% of cases.	"Interpretation: In this series of seven COVID-19 autopsies, thrombosis was a prominent feature in multiple organs, in some cases despite full anticoagulation and regardless of timing of the disease course, suggesting that thrombosis plays a role very early in the disease process"
Clotting affects multiple organs and is present in 15-27% of cases.	"1,2 Furthermore, COVID-19 affects multiple organs, including the cardiovascular system; various forms of cardiac arrhythmia occur in roughly 15% of patients, with a higher prevalence in more severe cases"
Clotting affects multiple organs and is present in 15-27% of cases.	"These cases are presented with a focus on thromboembolism and contextualized by pre-mortem AC regimens ( Table 2) In total, 11/26 (42%) had evidence of thromboembolic disease, including 4 pulmonary emboli (15%, Figure 3A ,B), 2 cerebral infarctions (8%, Figure 3C ,D) and 5 patients with microthrombi in multiple organs including the heart (n=4, Figure 3E) , liver (n=1, Figure 3F ), kidneys (n=2, not shown) and lymph nodes (n=2, not shown)"
Clotting affects multiple organs and is present in 15-27% of cases.	"While it is clear that COVID-19 is more likely to cause thrombosis, cases of infarction in multiple organs have not been regularly reported, and thus, our COVID-19 case with multiple infarctions is rare"
Clotting affects multiple organs and is present in 15-27% of cases.	"In addition to respiratory failure, these patients present with a dysfunctional systemic host response that affects multiple organs, including the central nervous, cardiovascular, renal, and gastrointestinal systems (2) (3) (4) , as well as a wide range of coagulation disturbances, such as thrombocytopenia, sustained systemic clotting activation, massive thrombin and fibrin formation, and disseminated intravascular coagulation (5) "
Clotting affects multiple organs and is present in 15-27% of cases.	"2 Recent investigations accentuate the involvement of multiple organs in COVID-19 6, 7 and report AKI in 6-36.6% of cases"
Clotting affects multiple organs and is present in 15-27% of cases.	"[3, 4] About 20% of cases develop severe diseases, with life-threatening complications such as respiratory failure, shock, and multiple organs dysfunction"
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"Similarly, as COVID-19 can also cause pneumonia as well as heart, liver, kidney, and other organ dysfunctions, the patients may die from heart failure, shock, acute respiratory distress syndrome, arrhythmia, or renal failure (16) "
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"COVID-19 causes pneumonia primarily, but it can also cause cardiac injury"
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"COVID-19 causes pneumonia primarily, but it can also cause cardiac injury"
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"The severe cases of COVID-19, have accompanied pneumonia, which can progress to acute respiratory distress syndrome (ARDS), sepsis, septic shock, and multi-organ failure (particularly kidney, heart, and liver damage) (Cao, 2020) "
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"COVID-19 disease leads to serious respiratory consequences such as pneumonia, respiratory failure, acute respiratory distress syndrome (ARDS), sepsis, and septic shock, which in many cases leads to urgent hospitalization in intensive care"
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"The most common complications of COVID-19 are pneumonia, acute respiratory distress syndrome, sepsis and septic shock"
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"The main serious clinical presentation of COVID-19 is pneumonia, but several cardiovascular complications may also occur (e.g., acute coronary syndromes, pulmonary embolism, stroke, arrhythmias, heart failure and cardiogenic shock) [1] "
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"In severe cases of COVID-19, complications (eg, pneumonia, acute respiratory distress syndrome, cardiomyopathy, arrhythmia, acute kidney failure, sepsis, and septic shock) can occur along with complications associated with prolonged hospitalization (eg, secondary bacterial infections)"
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"49  The more severe the form of COVID-19, the higher the chance of complications such as pneumonia, ARDS, sepsis, septic shock and death"
"COVID-19 also causes pneumonia, cardiac injury, secondary infection, kidney damage, pancreatitis, arrhythmia, sepsis, stroke, respiratory complications, and shock."	"Severe pneumonia, ARDS, sepsis, and septic shock 19 are the most common consequences of COVID-19 pulmonary infection"
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"According to the WHO announcement, common symptoms of COVID-19 which can occur within 2-14 days are including fever and chills, fatigue, dry cough, shortness of breath, sputum production, myalgia or arthralgia, headache, and sore throat"
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"COVID-19 symptoms range from mild to severe, and commonly include shortness of breath, cough, myalgia, fever and severe pneumonia"
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"COVID-19 symptoms (cough, fever, and shortness of breath) generally appear within 14 days of exposure and 20% of these patients progress to severe disease [3] "
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"COVID-19 symptoms vary from mild to severe and may include shortness of breath, cough, myalgia, fever, and extreme pneumonia [1] "
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	Symptoms at COVID-19 onset were similar with the exception of shortness of breath (p=0.004)
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"We found that Internet search patterns reveal a robust temporal pattern of disease progression for COVID-19: Initial symptoms of fever, dry cough, sore throat and chills are followed by shortness of breath an average of 5.22 days [95% CI 3.30-7.14] after symptom onset, matching the precise clinical course reported in the medical literature"
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"COVID-19 symptoms ranged from fever to dry cough, shortness of breath, and myalgia"
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"The most common symptoms of COVID-19 are fever, dry cough, systemic fatigue; less common symptoms are runny nose, sore throat, sneezing and shortness of breath (around the seventh day after symptom onset)"
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"COVID-19 symptoms include fever, malaise, dry cough, shortness of breath, and respiratory distress"
COVID-19 symptoms like fatigue and shortness of breath commonly persist for weeks to months after initial onset.	"The most common symptoms 2 months after the onset of COVID-19 were fatigue, dyspnoea and heart palpitations or chest pain"
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	"We provide evidence that COVID-19 causes acute lung injury with distinctive features, including thrombosis of the lung macro-and micro-vasculature, persistence of virus-infected cells the lung pneumocytes and endothelial cells for several weeks from diagnosis and presence of abnormal cell syncytia in the lung in a vast majority of patients"
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	"Although 80% of infected people develop a mild 30 disease, approximately 20% progress to severe COVID-19, which is associated with 31 lung damage and breathing difficulties, and may lead to respiratory failure and death"
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	Present data suggest the median time from onset to clinical recovery for mild COVID-19 cases is approximately two weeks and is three to six weeks or longer for patients with severe or critical disease
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	Individuals infected with COVID-19 develop symptoms within two days to two weeks after being exposed to the virus through human transmission [5] 
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	"On follow-up, his clinical recovery in total was 3 weeks, whereas the median time for COVID-19 is typically 6-8 weeks [30] "
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	"Despite the absence of history of smoking or pre-existing lung disease, this patient remained O2-dependent after 6 weeks of the onset of symptoms, which raises questions about the mechanism of lung damage in COVID-19, as this is unusual with other infective lung pathologies"
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	"Therefore, we aimed at assessing respiratory function at the time of clinical recovery and 6 weeks after discharge in patients surviving to COVID-19 pneumonia"
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	"Besides the acute phase, CT is recommended for follow-up in individuals who are recovering from COVID-19 to evaluate long-term or permanent lung damage including fibrosis, as is seen with SARS and MERS infection (38) "
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	Clinical recovery is not an appropriate criterion to release isolated patients and as long as 4 weeks' isolation for patients with COVID-19 is not enough to prevent the spread of the virus.
Most (88%) individuals infected with COVID-19 (n=86) showed evidence of lung damage six weeks after clinical recovery.	"Conversely, other studies have emphasized how some individuals can recover from COVID-19 symptoms within days; an effective immune response was found to be associated with successful clinical recovery (14) "
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	"In a cohort of 106,543 patients discharged after an index COVID-19 hospitalization, 9% experienced at least one readmission to the same hospital within 2 months of discharge"
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	The slight association of readmission with lengths of stay for hospitalized COVID-19 patients merits further study
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	Whether COVID-19 discharged patients are at increased risk of hospital readmission remains unknown as there is no available data regarding the readmission rate of COVID-19 inpatients at 30 days yet
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	"However, the median length of stay among patients hospitalized with COVID-19 is approximately 4 days (41), and results from a comparison of the COVID Ordinal Outcomes Scale at 14 days after randomization were concordant with results of other 28-day outcomes in the largest trial of COVID-19 to date (42) "
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	"Median time to hospital readmission was 221 days for the home-NIV cohort (95% CI, 148 -294) and 68 days (95% CI, 18 -118; p<0.05) for the control cohort"
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	Present data suggest the median time from onset to clinical recovery for mild COVID-19 cases is approximately two weeks and is three to six weeks or longer for patients with severe or critical disease
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	"A joint study conducted by WHO and China [12] concludes that the median time from onset of COVID-19 to clinical recovery for patients with mild cases is approximately 2 weeks, while the median time is 3 to 6 weeks for patients with more severe or critical disease symptoms"
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	"A joint study conducted by WHO and China [12] concludes that the median time from onset of COVID-19 to clinical recovery for patients with mild cases is approximately 2 weeks, while the median time is 3 to 6 weeks for patients with more severe or critical disease symptoms"
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	"First, patients who returned generally presented within 5 days of discharge, and of these, only half required hospital readmission"
"Approximately 9% of hospitalized patients experience at least 1 hospital readmission (from any cause) within 2 months of COVID-19 recovery, with individuals over 65 showing slightly higher odds of readmission."	"The 30-day hospital readmission rate was 20.4% and 16.2% for hospitalized high-risk and non-high-risk patients, respectively (Table 2) "
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"In this report we present results assuming 50% of infections are asymptomatic, though there is still uncertainty about this quantity [20, [36] [37] [38] [39] [40] "
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"In this report we present results assuming 50% of infections are asymptomatic, though there is still uncertainty about this quantity [20, [36] [37] [38] [39] [40] "
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"We do not explicitly track asymptomatic infections, which have been estimated to be around 20% of infections [24] (but estimates range from 1% to 50%, reviewed in [77] )"
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"We do not explicitly track asymptomatic infections, which have been estimated to be around 20% of infections [24] (but estimates range from 1% to 50%, reviewed in [77] )"
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	The calculations above assume that 15% of infections are asymptomatic
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"In the absence of definitive data on the proportion of infections which are asymptomatic, we assumed a 20% asymptomatic proportion though the actual percentage may be larger"
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"Also 20% of the infected will be asymptomatic throughout the course of infection, this is in line with the findings in Streeck et al"
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"The majority of infections are asymptomatic, but there is uncertainty over the proportion of asymptomatic infections, with reports ranging between 4.5% and 64% [8, 9, 10, 11] "
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"The proportion of asymptomatic infections has ranged widely from approximately 5-60% across various reports, but some studies have not had sufficient follow-up to document the development of later onset of symptoms"
"Between 16% and 76% of cases are asymptomatic throughout the course of their infection, though changing symptom definitions make it difficult to compare asymptomatic fractions through time."	"Although studies have described rates of asymptomatic infection, ranging from 4% to 32%, it is unclear whether these reports represent truly asymptomatic infection by individuals who never develop symptoms, transmission by individuals with very mild symptoms or transmission by individuals who are asymptomatic at the time of transmission but subsequently develop symptoms [57] "
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	"The case fatality rate (CFR) of our study population was 2 • 9% No death occurred in the patients under age 30; however, cases in the age group 70 to 79 years and 80 or above had a 12 • 9% and 34 • 8% CFR, respectively"
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	[3] [4] [5] [6] The case fatality rates (CFR) in patients aged less than 70 years were reported as 0.3-3.5%
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	Mortality is expressed as case fatality rate (CFR)
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	Mortality is expressed as case fatality rate (CFR)
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	"3 The case fatality rate (CFR) is not insignificant, especially in older people aged over 80 years 4 and those with comorbidities"
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	Case fatality rate (CFR) is the likelihood of an infection to result in death
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	Mortality is expressed as the case fatality rate (CFR)
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	Case fatality rate (CFR) represents the proportion of cases who eventually die from a disease over the diagnosed cases of disease (https ://ourwo rldin data.org/morta lity-risk-covid )
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	"21 In another study, case fatality rate (CFR) in patients aged over 60 years without comorbidities was 1.4%, whereas the CFR was 13.2% for patients with CVD, 9.2% for patients with diabetes, 8.4% for patients with hypertension, 8% for patients with chronic respiratory disease and 7.6% for patients with cancer"
"The case fatality rate (CFR) is unknown, but adults >60 and those with comorbidities are at elevated risk of death."	The number of deaths and Case Fatality Rate (CFR) was presented by different age groups
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"The CFR was also increased in those with comorbidities including cardiovascular, diabetes, chronic respiratory disease, hypertension, and cancer"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"The CFR increases with age and in the presence of comorbidities (hypertension, diabetes mellitus, cardiovascular or cerebrovascular disease, respiratory disease and obesity)"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"Furthermore, the comorbid diseases such as cardiovascular diseases, COPD and hypertension may also increase the CFR in COVID-19 patients"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"11 CFR was increased in those with underlying diseases, such as cardiovascular disease, diabetes, chronic respiratory diseas, hypertension and cancer"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"11 CFR was increased in those with underlying deseases, such as cardiovascular disease, diabetes, chronic respiratory diseas, hypertension and cancer"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"3, 22 Compared to the overall CFR of 3.8%, the presence of comorbid conditions significantly increases the CFR, with the highest for cardiovascular disease (13.2%), followed by diabetes (9.2%), hypertension (8.4%), chronic respiratory disorder (8.0%), and cancer (7.6%)"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"5 The increased CFR with older age has been attributed to increased comorbidities in these age groups, including pre-existing immunosuppression, diabetes, HIV, chronic obstructive pulmonary disease, and cardiovascular, liver, and renal conditions"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"Other diseases that present with a high CFR include diabetes (7.3 %), chronic lung diseases (6.3 %), hypertension (6.0 %), and cancer (5.6 %) [28] "
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"Preexisting conditions also increase risk, with a CFR of 10.5% for cardiovascular disease, 7.3% for diabetes, 6.3% for chronic respiratory disease, 6.0% for hypertension, and 5.6% for cancer"
"Cardiovascular disease, obesity, hypertension, diabetes, cancer, down syndrome, and respiratory conditions all increase the CFR."	"Comorbidities such as diabetes mellitus, hypertension and chronic lung disease have been reported to be associated with a worse outcome and higher CFR (5) "
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"Serum levels of IS and PCS are negatively correlated with renal function and gradually increases with kidney disease severity (Huang et al., 2012; Lin et al., 2011) "
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"Serum levels of IS and PCS are negatively correlated with renal function and gradually increases with kidney disease severity (Huang et al., 2012; Lin et al., 2011) "
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"Within adult populations, increased age is generally associated with higher disease severity (29) "
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"In addition to age, there is clear evidence that pre-existing conditions affect mortality and disease severity"
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"Bivariate analyses showed that younger age (<2 years) and chronic complex medical conditions (cardiovascular, respiratory, genetic, or congenital) were associated with increased disease severity"
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	Disease severity increased with advancing age
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"Significant predictors associated with severe outcomes included increasing age (adjusted odds ratio  Age, male sex, dyspnea, immunocompromised status, and chronic kidney disease were found to be the strongest predictors of disease severity, and hyperlipidemia was found to be a protective factor"
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"These hazard ratios (HR)were higher than risk factors such as advanced age (HR: 2.43), severe disease (HR: 6.10) and remained significantly associated with mortality even after adjustment (therefore to multivariate analysis) by age, gender, disease severity, lymphocyte count, comorbidity, thus demonstrating that measures of kidney damage play a very important role in assessing prognosis of COVID-19 patients [8, 102, 103] "
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"Other risk factors for disease severity include older age, chronic kidney disease, chronic obstructive pulmonary disease, immunocompromise, obesity, cardiovascular disease, diabetes mellitus, and possibly asthma, smoking, and hypertension [3] "
"Prior kidney disease may increase disease severity, though age may be the dominant factor."	"8, 9 These patients tend to be older and have more comorbidity than their nonprogressing counterparts, 10 but the underlying pathways leading to increased disease severity are incompletely understood"
"In Iceland, the overall CFR has been estimated at 0.3-0.6% but increases to ~4% in those over 70 years old."	"The CFR increases by age groups, from less than 1% among younger people (0 to 39 years) to more than 30% among the eldest (80 years and older)"
"In Iceland, the overall CFR has been estimated at 0.3-0.6% but increases to ~4% in those over 70 years old."	"This aligns with nationwide CFR that increases with older age, with rates up to 27.3% in those >85 years as reported by the Centers for Disease Control(6)"
